OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33 DEB,1997-051GB,2026-07-11T04:28:09.261120,15.09443680,.0006885,86.3772,273.6963,94.1153,294.7560,0,U,34486,999,92147,.1113E-2,.17863E-3,0
IRIDIUM 33 DEB,1997-051GC,2026-07-10T13:33:06.479712,14.43514155,.003201,86.3428,282.0286,153.0145,271.3394,0,U,34487,999,91275,.94956E-4,.344E-5,0
IRIDIUM 33 DEB,1997-051GH,2026-07-11T03:11:42.500256,14.29464858,.0175177,86.4693,249.2792,279.6018,107.8146,0,U,34492,999,88061,.11008E-2,.3334E-4,0
IRIDIUM 33 DEB,1997-051GN,2026-07-11T02:44:05.178048,14.28150861,.0079568,86.2798,322.4968,21.7421,102.7612,0,U,34497,999,89885,.22705E-3,.603E-5,0
IRIDIUM 33 DEB,1997-051GZ,2026-07-10T18:57:12.851712,14.39802760,.0062938,86.3705,13.4462,201.2257,158.6330,0,U,34508,999,90330,.51493E-3,.1672E-4,0
IRIDIUM 33 DEB,1997-051HN,2026-07-10T07:13:59.155104,14.66019073,.000136,86.3787,298.0740,245.1974,114.9098,0,U,34521,999,91540,.60362118E-3,.3329E-4,0
IRIDIUM 33 DEB,1997-051HS,2026-07-10T08:29:36.127968,14.43419324,.00066183,86.3744,317.3550,112.2037,274.3001,0,U,34525,999,91111,.19403996E-3,.675E-5,0
IRIDIUM 33 DEB,1997-051HW,2026-07-10T07:21:59.272992,14.40882860,.00036986,86.3645,306.0736,207.3990,152.7016,0,U,34529,999,91159,.12473562E-3,.42E-5,0
IRIDIUM 33 DEB,1997-051JF,2026-07-10T22:46:45.962976,14.43761234,.003309,86.2746,273.3838,353.2746,61.1842,0,U,34538,999,90788,.2343E-3,.822E-5,0
IRIDIUM 33 DEB,1997-051JH,2026-07-11T01:19:49.228032,14.79592903,.0016565,86.3089,211.0794,147.1475,240.3326,0,U,34540,999,92127,.58952E-3,.445E-4,0
IRIDIUM 33 DEB,1997-051JZ,2026-07-11T00:02:54.203136,14.14925011,.0169831,86.3973,196.8439,356.5151,3.4836,0,U,34648,999,87931,.95919E-3,.2147E-4,0
IRIDIUM 33 DEB,1997-051KC,2026-07-08T00:53:59.354592,14.28686801,.01292288,86.2791,52.0608,256.7550,101.9202,0,U,34651,999,88853,.91417322E-3,.2531E-4,0
IRIDIUM 33 DEB,1997-051KD,2026-07-10T22:33:54.256320,14.63815098,.0024759,86.3288,246.2476,300.1204,179.6047,0,U,34652,999,91557,.30779E-3,.1635E-4,0
IRIDIUM 33 DEB,1997-051KM,2026-07-11T01:46:59.248704,14.56094464,.0010226,86.3781,305.5207,39.0717,14.2189,0,U,34690,999,91154,.52398E-3,.2331E-4,0
IRIDIUM 33 DEB,1997-051KT,2026-07-10T13:52:52.153824,14.79063171,.0059826,86.1776,288.6646,162.4324,261.1388,0,U,34696,999,89761,.33253E-2,.25437E-3,0
IRIDIUM 33 DEB,1997-051LJ,2026-07-10T07:14:25.864800,14.41007312,.00143998,86.3396,302.8119,243.3444,145.1876,0,U,34765,999,90631,.21156319E-3,.7E-5,0
IRIDIUM 33 DEB,1997-051MH,2026-07-11T03:03:35.941248,14.53673316,.0021525,86.3945,320.2392,109.3390,307.4367,0,U,34833,999,90770,.3406E-3,.1451E-4,0
IRIDIUM 33 DEB,1997-051MQ,2026-07-09T01:09:55.635840,14.80437108,.00162143,86.3100,218.3276,175.4829,214.1675,0,U,34870,999,91989,.55601188E-3,.4283E-4,0
